Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Death rate per 100 000 population
CSA,Central and South America,ARG,Argentina,2017,Unknown,Age80_84,[80-84],0,0,
CSA,Central and South America,ARG,Argentina,2017,Unknown,Age85_over,[85+],0,0,
CSA,Central and South America,ARG,Argentina,2019,Unknown,Age70_74,[70-74],0,0,
CSA,Central and South America,ARG,Argentina,2016,Female,Age80_84,[80-84],8,0.03137009,2.07154602
CSA,Central and South America,ARG,Argentina,2016,All,Age60_64,[60-64],152,0.62106726,8.43803622
CSA,Central and South America,ARG,Argentina,2016,Unknown,Age65_69,[65-69],0,0,
CSA,Central and South America,ARG,Argentina,2015,Unknown,Age85_over,[85+],0,0,
AS,Asia,ARM,Armenia,2021,Male,Age75_79,[75-79],0,0,0
AS,Asia,ARM,Armenia,2021,Male,Age80_84,[80-84],0,0,0
CSA,Central and South America,ARG,Argentina,2016,Unknown,Age70_74,[70-74],0,0,
AS,Asia,ARM,Armenia,2021,Female,Age65_69,[65-69],1,0.05681818,1.21041929
AS,Asia,ARM,Armenia,2021,Female,Age70_74,[70-74],1,0.04677268,1.84791647
OA,Oceania,AUS,Australia,2015,Male,Age60_64,[60-64],123,2.49746193,19.57202505
OA,Oceania,AUS,Australia,2016,All,Age85_over,[85+],89,0.1386552,18.43875536
OA,Oceania,AUS,Australia,2016,Female,Age85_over,[85+],24,0.0627533,7.90928055
OA,Oceania,AUS,Australia,2015,All,Age65_69,[65-69],137,1.24206709,11.84732687
OA,Oceania,AUS,Australia,2015,All,Age75_79,[75-79],81,0.45986147,12.84629488
EU,Europe,AUT,Austria,2021,Male,Age75_79,[75-79],79,1.22670807,54.45909708
EU,Europe,AUT,Austria,2021,Male,Age85_over,[85+],88,0.66848982,117.466462
EU,Europe,AUT,Austria,2020,Female,Age85_over,[85+],15,0.06207325,9.90661366
EU,Europe,AUT,Austria,2021,All,Age65_69,[65-69],74,1.20149375,15.7210324
EU,Europe,AUT,Austria,2021,All,Age75_79,[75-79],102,0.90537902,30.79710145
EU,Europe,AUT,Austria,2021,Male,Age65_69,[65-69],59,1.51437372,26.428837
AS,Asia,ARM,Armenia,2017,All,Age80_84,[80-84],1,0.02034174,1.89257731
EU,Europe,AUT,Austria,2020,Female,Age75_79,[75-79],18,0.34188034,8.90269356
EU,Europe,AUT,Austria,2019,Male,Age60_64,[60-64],62,2.36280488,22.9513173
AS,Asia,ARM,Armenia,2021,Male,Age60_64,[60-64],6,0.28208745,7.05517144
AS,Asia,ARM,Armenia,2021,Male,Age70_74,[70-74],5,0.21891419,13.9039515
EU,Europe,AUT,Austria,2019,All,Age65_69,[65-69],71,1.29043984,15.86833307
CSA,Central and South America,ARG,Argentina,2016,Unknown,Age60_64,[60-64],0,0,
CSA,Central and South America,ARG,Argentina,2016,Unknown,Age85_over,[85+],0,0,
EU,Europe,AUT,Austria,2018,All,Age75_79,[75-79],119,1.02612745,30.61912383
EU,Europe,AUT,Austria,2018,All,Age85_over,[85+],109,0.31340752,48.40357032
EU,Europe,AUT,Austria,2018,Male,Age65_69,[65-69],48,1.35173191,22.69192404
EU,Europe,AUT,Austria,2018,Male,Age75_79,[75-79],89,1.33513351,51.99478884
AS,Asia,ARM,Armenia,2021,Female,Age75_79,[75-79],1,0.06523157,3.7261989
